sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species
SAMN26378909	4237584	960	4414.15	54970	436	0	0	5869	219	4070	393	2254	671	SAMN26378909	Escherichia coli
SAMEA9477628	7904153	9973	792.56	57344	200	0	0	1423	1158	728	2725	250	6461	SAMEA9477628	Escherichia coli
SAMEA111272045	6792181	1353	5020.09	100417	201	0	0	14378	114	6674	255	1912	642	SAMEA111272045	Escherichia coli
SAMN41341161	4455074	847	5259.83	52775	226	0	0	8338	149	5039	287	2342	542	SAMN41341161	Escherichia coli
SAMEA115667405	5875585	478	12292.02	426497	202	0	0	55032	31	29030	61	5912	140	SAMEA115667405	Escherichia coli
SAMEA104142995	3115912	1024	3042.88	16551	253	0	0	3904	254	2830	441	1552	726	SAMEA104142995	Escherichia coli
SAMEA7391510	6720009	978	6871.17	349747	204	0	0	56186	31	27518	64	3160	207	SAMEA7391510	Escherichia coli
SAMEA112764331	3104576	1482	2094.86	19733	289	0	0	2762	308	1790	587	979	1058	SAMEA112764331	Escherichia coli
SAMN28592237	7687324	8338	921.96	65441	200	0	0	1734	948	795	2250	301	5365	SAMN28592237	Escherichia coli
SAMN35126880	1072783	93	11535.3	118190	207	0	0	39355	9	29794	15	10856	28	SAMN35126880	Escherichia coli
SAMEA8899937	3330927	259	12860.72	64531	223	0	0	22124	48	15061	86	7419	147	SAMEA8899937	Escherichia coli
SAMEA5098775	6428806	1125	5714.49	74977	211	0	0	15151	117	7156	234	1825	590	SAMEA5098775	Escherichia coli
SAMN30049147	6381572	4732	1348.6	259335	200	0	0	70061	25	30740	52	219	1702	SAMN30049147	Escherichia coli
SAMEA104351962	7313969	5722	1278.22	52808	200	0	0	2336	676	1238	1540	480	3393	SAMEA104351962	Escherichia coli
SAMEA5740979	8874126	5727	1549.52	84886	200	0	0	3483	533	1563	1302	583	3235	SAMEA5740979	Escherichia coli
SAMN00102953	4400398	2003	2196.9	17852	205	0	0	3197	414	2044	762	1022	1357	SAMN00102953	Escherichia coli
SAMEA8901085	5767496	5444	1059.42	47518	201	0	0	2983	433	1192	1048	313	3035	SAMEA8901085	Escherichia coli
SAMEA8701262	9750482	6192	1574.69	89635	202	0	0	8566	253	2365	673	487	2899	SAMEA8701262	Escherichia coli
SAMN08152983	9124137	5583	1634.27	51523	200	100	1	2830	727	1389	1662	642	3704	SAMN08152983	Escherichia coli
SAMN13876183	5690045	5521	1030.62	31350	200	0	0	4662	331	1686	717	249	2964	SAMN13876183	Escherichia coli
SAMN42358666	7237416	7420	975.39	47662	200	0	0	1936	774	871	1888	333	4578	SAMN42358666	Escherichia coli
SAMEA9477495	10337184	6690	1545.17	84898	200	0	0	8163	291	3153	697	436	3035	SAMEA9477495	Escherichia coli
SAMEA20129668	484242	389	1244.84	7008	265	0	0	1394	114	1000	196	710	313	SAMEA20129668	Escherichia coli
SAMEA3251953	262157	53	4946.36	19764	288	0	0	9766	10	8831	16	2182	27	SAMEA3251953	Escherichia coli
SAMEA111273491	2070596	108	19172.19	102337	398	0	0	35861	21	23521	35	11246	59	SAMEA111273491	Escherichia coli
SAMN18191037	5376847	488	11018.13	141992	201	0	0	46466	33	27577	64	5533	149	SAMN18191037	Escherichia coli
SAMN04191546	8335612	4881	1707.77	49104	201	0	0	2819	702	1411	1544	672	3354	SAMN04191546	Escherichia coli
SAMEA112202948	5926600	1146	5171.55	242596	200	0	0	44774	41	25874	76	5090	171	SAMEA112202948	Escherichia coli
SAMEA5786672	5584714	2204	2533.9	32338	201	0	0	4537	368	2904	672	1197	1260	SAMEA5786672	Escherichia coli
SAMEA3981911	6026616	900	6696.24	193098	204	0	0	41031	36	23975	75	3462	201	SAMEA3981911	Escherichia coli
SAMN29870557	2837129	131	21657.47	231804	210	0	0	53831	17	33493	30	12839	53	SAMN29870557	Escherichia coli
SAMEA12547469	9697108	11365	853.24	99477	200	0	0	1409	1428	679	3458	314	7683	SAMEA12547469	Escherichia coli
SAMEA111272260	6214518	797	7797.39	181201	203	0	0	35589	43	16494	91	4118	234	SAMEA111272260	Escherichia coli
SAMN20551407	7388268	5318	1389.29	58085	200	0	0	2853	562	1423	1303	495	3058	SAMN20551407	Escherichia coli
SAMN30467497	6456426	985	6554.75	170496	211	0	0	32930	48	13700	107	2658	308	SAMN30467497	Escherichia coli
SAMN17569901	3955696	411	9624.56	56458	201	0	0	16773	69	10402	127	5192	232	SAMN17569901	Escherichia coli
SAMEA5206504	1523584	563	2706.19	13692	329	0	0	3685	139	2400	238	1342	405	SAMEA5206504	Escherichia coli
SAMN12599912	14132709	22957	615.62	62914	200	0	0	929	2995	426	7488	255	16983	SAMN12599912	Escherichia coli
SAMN13932417	329451	50	6589.02	59218	621	0	0	20001	4	6402	12	2624	28	SAMN13932417	Escherichia coli
SAMEA9843987	9196413	11658	788.85	54276	204	0	0	1602	999	613	2984	262	7614	SAMEA9843987	Escherichia coli
SAMN10840025	343470	188	1826.97	18732	306	0	0	2500	31	1324	70	762	137	SAMN10840025	Escherichia coli
SAMN17367941	5442280	2303	2363.13	56518	201	0	0	8020	208	4759	382	1323	769	SAMN17367941	Escherichia coli
SAMN29870579	3072885	211	14563.44	327041	211	0	0	95565	9	67330	16	13408	35	SAMN29870579	Escherichia coli
SAMN17165605	3977462	1225	3246.91	37859	206	0	0	5040	220	3207	417	1549	764	SAMN17165605	Escherichia coli
SAMN37434744	7294853	1121	6507.45	158370	200	0	0	24038	77	10861	169	2885	431	SAMN37434744	Escherichia coli
SAMN07197416	224778	16	14048.62	117573	229	100	1	117573	1	45270	2	5513	4	SAMN07197416	Escherichia coli
SAMEA2698431	4266867	1433	2977.58	42855	200	0	0	8925	134	4371	271	1465	602	SAMEA2698431	Escherichia coli
SAMEA3980776	7827279	1901	4117.45	79807	200	0	0	10126	204	5433	413	1645	936	SAMEA3980776	Escherichia coli
SAMN01922311	2154705	965	2232.85	13868	223	0	0	2854	226	1924	410	1094	703	SAMN01922311	Escherichia coli
SAMEA3982300	7740956	3737	2071.44	59304	202	0	0	4745	400	2133	898	694	2212	SAMEA3982300	Escherichia coli
SAMN09380319	5936309	2092	2837.62	47967	200	0	0	8056	199	4628	395	1267	843	SAMN09380319	Escherichia coli
SAMN32247324	7502862	6511	1152.34	76707	200	0	0	2239	741	1043	1753	475	3994	SAMN32247324	Escherichia coli
SAMEA111271724	8341689	8902	937.06	70163	201	0	0	1684	1005	782	2474	350	5586	SAMEA111271724	Escherichia coli
SAMEA115667601	9421941	4802	1962.09	106330	200	0	0	17098	138	7213	301	517	1778	SAMEA115667601	Escherichia coli
SAMN16662997	2153366	482	4467.56	53200	204	0	0	6710	93	4488	170	2250	303	SAMN16662997	Escherichia coli
SAMEA8570783	9203824	11263	817.17	78603	202	0	0	1823	845	654	2631	256	7199	SAMEA8570783	Escherichia coli
SAMEA8571691	7717579	9008	856.75	55330	200	0	0	1786	907	817	2180	258	5590	SAMEA8571691	Escherichia coli
SAMN31969690	182892	75	2438.56	66749	394	0	0	29726	2	1943	10	740	41	SAMN31969690	Escherichia coli
SAMEA111271943	9928639	5001	1985.33	116800	200	0	0	11948	214	5273	464	533	1872	SAMEA111271943	Escherichia coli
SAMEA4464639	6523254	3149	2071.53	44928	202	0	0	4982	298	1975	722	668	1931	SAMEA4464639	Escherichia coli
SAMEA110347714	7314038	7086	1032.18	48949	200	0	0	2354	650	1057	1588	326	4058	SAMEA110347714	Escherichia coli
SAMEA4672808	10364078	5330	1944.48	79230	200	0	0	12179	213	5534	461	520	1993	SAMEA4672808	Escherichia coli
SAMEA9477455	11861162	14313	828.7	42235	200	0	0	1946	1189	654	3428	270	9146	SAMEA9477455	Escherichia coli
SAMN38649496	2968671	103	28822.05	171600	272	0	0	61311	16	40456	28	15977	51	SAMN38649496	Escherichia coli
SAMN12599830	9885670	6001	1647.34	60260	201	0	0	5397	440	2246	994	524	3153	SAMN12599830	Escherichia coli
SAMEA5376809	6345660	897	7074.31	170326	202	0	0	31418	53	16209	106	3994	250	SAMEA5376809	Escherichia coli
SAMN04903932	5871866	2606	2253.21	62669	200	0	0	7740	201	3774	419	623	1136	SAMN04903932	Escherichia coli
SAMN16663549	9713131	7278	1334.59	89290	200	0	0	2610	754	1235	1861	513	4410	SAMN16663549	Escherichia coli
SAMN35126928	2775801	307	9041.7	78298	204	0	0	21475	46	14010	78	6105	139	SAMN35126928	Escherichia coli
SAMEA8570887	6117306	818	7478.37	179599	200	0	0	28478	55	15591	115	4421	259	SAMEA8570887	Escherichia coli
SAMEA5075812	4993629	1887	2646.33	37893	201	0	0	4818	274	2697	553	1070	1121	SAMEA5075812	Escherichia coli
SAMEA7566852	4462149	607	7351.15	50277	375	0	0	12719	105	7757	198	3637	362	SAMEA7566852	Escherichia coli
SAMN02802040	1104281	1473	749.68	6952	238	0	0	988	330	617	615	345	1089	SAMN02802040	Escherichia coli
SAMEA5043552	7396085	7610	971.89	45278	201	0	0	2728	597	1023	1488	275	4363	SAMEA5043552	Escherichia coli
SAMN00623096	3367669	1092	3083.95	33140	214	0	0	4900	204	3145	377	1506	686	SAMN00623096	Escherichia coli
SAMEA7608944	8310383	4730	1756.95	85439	201	0	0	3476	517	1514	1247	653	3021	SAMEA7608944	Escherichia coli
SAMEA112128239	6123246	891	6872.33	192474	202	0	0	24070	69	12661	139	2498	350	SAMEA112128239	Escherichia coli
SAMN21464935	362080	333	1087.33	8100	267	0	0	1056	120	870	196	775	284	SAMN21464935	Escherichia coli
SAMEA4464671	6402998	3196	2003.44	50673	200	200	2	4177	398	1871	863	704	2023	SAMEA4464671	Escherichia coli
SAMEA111274719	9348461	7284	1283.42	83515	200	0	0	3194	593	1173	1576	481	4214	SAMEA111274719	Escherichia coli
SAMEA104314588	9963547	2310	4313.22	128979	200	0	0	10394	209	5269	482	1943	1086	SAMEA104314588	Escherichia coli
SAMN13853756	4666150	5356	871.2	25342	200	0	0	1408	871	797	1744	342	3551	SAMN13853756	Escherichia coli
SAMN14490921	4139003	1186	3489.88	37719	256	0	0	5006	240	3169	446	1685	796	SAMN14490921	Escherichia coli
SAMEA8272009	6120600	2267	2699.87	81131	202	0	0	9215	179	4988	358	1165	826	SAMEA8272009	Escherichia coli
SAMEA26832418	7362797	3924	1876.35	78697	201	200	2	3722	419	1625	1035	674	2493	SAMEA26832418	Escherichia coli
SAMN04388547	8122807	13115	619.35	18118	200	0	0	1530	1210	573	3039	214	9290	SAMN04388547	Escherichia coli
SAMN18191048	7912816	8058	981.98	77103	201	0	0	2165	774	993	1851	316	4731	SAMN18191048	Escherichia coli
SAMN40380408	5714820	5091	1122.53	137129	200	0	0	20969	68	7440	161	248	2577	SAMN40380408	Escherichia coli
SAMEA104370208	5386858	155	34753.92	619359	202	0	0	373519	6	316016	9	105237	17	SAMEA104370208	Escherichia coli
SAMEA7109441	1584740	485	3267.51	21652	223	0	0	5345	93	3245	167	1566	302	SAMEA7109441	Escherichia coli
SAMEA4686301	6343791	1024	6195.11	184942	215	0	0	36569	44	15358	98	2271	303	SAMEA4686301	Escherichia coli
SAMN03922976	5603966	823	6809.19	85987	200	200	2	27025	69	17190	121	6306	220	SAMN03922976	Escherichia coli
SAMN35769066	5818319	2045	2845.14	142425	200	0	0	35144	47	18817	92	2535	230	SAMN35769066	Escherichia coli
SAMD00587894	2619841	51	51369.43	285906	230	0	0	169122	6	105614	10	64152	16	SAMD00587894	Escherichia coli
SAMN24386984	6076333	1328	4575.55	124738	201	0	0	17511	88	7984	193	1967	486	SAMN24386984	Escherichia coli
