sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Sample	Species	HQ	hq_set
SAMEA3572938	4992862	108	46230.2	606236	231	0	0	196491	8	112994	14	61545	26	SAMEA3572938	Salmonella enterica	T	good_samples
SAMEA4027621	2051634	41	50039.85	260586	249	0	0	126332	6	68409	11	37782	18	SAMEA4027621	Streptococcus agalactiae	T	good_samples
SAMN33416016	4581920	121	37867.11	361996	200	0	0	172940	10	95742	17	35636	32	SAMN33416016	Escherichia coli	T	good_samples
SAMN38372550	4201916	110	38199.24	407951	203	0	0	199205	8	109827	14	52613	24	SAMN38372550	Clostridioides difficile	T	good_samples
SAMEA113994397	2106264	161	13082.39	175800	210	0	0	46689	13	34178	23	11507	43	SAMEA113994397	Neisseria gonorrhoeae	T	good_samples
SAMN35675777	4737896	42	112807.05	1508368	210	0	0	490411	3	310740	5	124985	10	SAMN35675777	Salmonella enterica	T	good_samples
SAMN12036209	4901099	85	57659.99	895715	201	0	0	234391	6	184324	10	79805	18	SAMN12036209	Salmonella enterica	T	good_samples
SAMN03766444	2964952	28	105891.14	545639	205	0	0	438206	4	267689	5	99412	9	SAMN03766444	Listeria monocytogenes	T	good_samples
SAMN12999228	1601356	85	18839.48	121334	271	0	0	35661	13	28081	23	11205	41	SAMN12999228	Campylobacter_D jejuni	T	good_samples
SAMEA2150673	4825507	67	72022.49	488864	266	0	0	149378	11	106773	18	54388	30	SAMEA2150673	Salmonella enterica	T	good_samples
SAMN21461603	4205960	79	53240.0	1202674	239	0	0	355771	3	149234	7	81291	14	SAMN21461603	Clostridioides difficile	T	good_samples
SAMN41642784	4329859	231	18743.98	216878	203	0	0	78355	18	51864	31	20163	57	SAMN41642784	Paenibacillus_H larvae	T	good_samples
SAMN07982347	4747163	38	124925.34	1549493	200	100	1	417406	3	297443	6	97094	11	SAMN07982347	Salmonella enterica	T	good_samples
SAMN15203439	4711593	65	72486.05	498866	206	0	0	349617	6	231968	9	141808	14	SAMN15203439	Salmonella enterica	T	good_samples
SAMEA4841155	6241668	62	100672.06	1114268	201	0	0	475895	5	288965	8	106393	14	SAMEA4841155	Pseudomonas aeruginosa	T	good_samples
SAMEA112799307	4356408	118	36918.71	254888	201	0	0	95892	15	62136	27	34732	44	SAMEA112799307	Mycobacterium tuberculosis	T	good_samples
SAMEA104362410	4348031	151	28794.91	253479	220	0	0	82761	14	58856	26	29051	47	SAMEA104362410	Mycobacterium tuberculosis	T	good_samples
SAMEA3558820	4368004	130	33600.03	281463	200	0	0	103751	16	70095	25	37259	40	SAMEA3558820	Mycobacterium tuberculosis	T	good_samples
SAMN08555605	1845528	29	63638.9	281800	205	0	0	222051	4	98734	7	60504	11	SAMN08555605	Streptococcus pyogenes	T	good_samples
SAMEA5075917	5035782	275	18311.93	224781	200	0	0	73946	22	43611	40	19997	73	SAMEA5075917	Escherichia coli	T	good_samples
SAMN11258024	4630889	78	59370.37	1248183	201	0	0	396824	3	195164	7	76053	14	SAMN11258024	Salmonella enterica	T	good_samples
SAMN34161842	4918566	76	64717.97	577070	223	0	0	257520	7	189728	12	77431	20	SAMN34161842	Salmonella enterica	T	good_samples
SAMN03922755	2908990	24	121207.92	1265135	208	300	3	294192	2	253394	4	142339	7	SAMN03922755	Listeria monocytogenes_B	T	good_samples
SAMEA113582582	2917845	366	7972.25	84969	201	0	0	18235	43	12875	81	5606	147	SAMEA113582582	Enterococcus_B faecium	T	good_samples
SAMN04459445	4194743	180	23304.13	154227	200	0	0	57123	24	35909	42	13852	79	SAMN04459445	Clostridioides difficile	T	good_samples
SAMN41643395	5096572	102	49966.39	378133	200	0	0	150124	9	109638	17	54328	30	SAMN41643395	Escherichia coli	T	good_samples
SAMN17783511	1710614	35	48874.69	484901	245	0	0	184020	3	103702	6	65474	10	SAMN17783511	Campylobacter_D jejuni	T	good_samples
SAMN38882125	4681689	79	59261.89	648746	231	0	0	313889	6	260085	9	73745	15	SAMN38882125	Escherichia coli	T	good_samples
SAMN12359629	5153203	159	32410.08	481456	209	0	0	159918	9	96095	17	38763	33	SAMN12359629	Escherichia coli	T	good_samples
SAMEA3714258	2046108	94	21767.11	192921	204	0	0	60276	11	43600	18	18169	31	SAMEA3714258	Streptococcus pneumoniae	T	good_samples
SAMN41660005	4668430	492	9488.68	88228	201	0	0	23385	60	14453	110	5572	207	SAMN41660005	Escherichia coli	T	good_samples
SAMEA6450752	5332001	165	32315.16	512817	206	0	0	150483	11	98356	19	43788	36	SAMEA6450752	Escherichia coli	T	good_samples
