sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC	QC_Prediction
SAMEA9477495	10337184	6690	1545.17	84898	200	0	0	8163	291	3153	697	436	3035	98.47	54.08	100.0	Neural Network (Specific Model)	11.0	0.88	8163.0	211.90111576011157	10337184.0	0.51	14340.0		Y	N	ERR10227737	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.25	24.0	NA-NA	HIGH	NA-NA	24.0	25.582	16819/21223	99.25	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA13790067	4607297	158	29160.11	395628	200	0	0	96960	14	64223	26	23360	48	100.0	0.05	100.0	Neural Network (Specific Model)	11.0	0.881	96960.0	314.62163416898795	4607297.0	0.51	4308.0		Y	N	ERR11525260	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.27	92.0	NA-NA	HIGH	NA-NA	92.0	92.492	8985/21223	97.27	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN17165757	4431964	121	36627.8	268242	220	0	0	92837	16	63451	28	32711	47	100.0	0.13	100.0	Neural Network (Specific Model)	11.0	0.881	92837.0	312.41087685673216	4431964.0	0.51	4174.0		Y	N	SRR13309078	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.28	48.0	NA-NA	HIGH	NA-NA	48.0	50.278	9025/21223	97.28	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMEA104292754	7782324	4068	1913.06	87312	203	0	0	3561	491	1984	1088	778	2279	100.0	30.92	98.71	Neural Network (Specific Model)	11.0	0.878	3561.0	223.27863080684597	7782324.0	0.5	10225.0		Y	N	ERR2893884	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.81	18.0	NA-NA	HIGH	NA-NA	18.0	21.13	19992/21223	99.81	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA111482611	5121403	321	15954.53	261830	200	0	0	83029	19	59774	33	16711	64	100.0	0.16	100.0	Neural Network (Specific Model)	11.0	0.871	83029.0	295.07788347205707	5121403.0	0.51	5046.0		Y	N	ERR10391599	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.39	164.0	NA-NA	HIGH	NA-NA	164.0	171.465	9345/21223	97.39	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMEA13790027	4679104	159	29428.33	395628	210	0	0	95590	14	62123	27	28542	48	100.0	0.09	100.0	Neural Network (Specific Model)	11.0	0.881	95590.0	312.705842236872	4679104.0	0.51	4399.0		Y	N	ERR11525211	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.27	144.0	NA-NA	HIGH	NA-NA	144.0	142.637	8984/21223	97.27	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN15686874	4579632	558	8207.23	99138	200	0	0	28719	46	17132	87	5975	174	100.0	0.21	100.0	Neural Network (Specific Model)	11.0	0.854	28719.0	266.9085154176026	4579632.0	0.51	4897.0		Y	N	SRR12358845	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	96.93	36.0	NA-NA	HIGH	NA-NA	36.0	39.354	8066/21223	96.93	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Fail
SAMN17165605	3977462	1225	3246.91	37859	206	0	0	5040	220	3207	417	1549	764	88.45	1.24	81.43	Neural Network (Specific Model)	11.0	0.872	5040.0	244.12473662031184	3977462.0	0.5	4746.0		Y	N	SRR13309151	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.19	6.387	NA-NA	HIGH	NA-NA	6.0	6.387	8775/21223	97.19	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA5698447	6780867	2252	3011.04	108450	201	0	0	14857	128	8031	250	2031	547	99.02	12.06	100.0	Neural Network (Specific Model)	11.0	0.871	14857.0	245.8423019431988	6780867.0	0.5	8028.0		Y	N	ERR4504236	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.02	39.0	NA-NA	HIGH	NA-NA	39.0	38.3	11430/21223	98.02	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA7584267	6258031	931	6721.84	370543	202	0	0	26532	55	12877	122	2400	328	99.69	14.24	100.0	Neural Network (Specific Model)	11.0	0.876	26532.0	281.5344297571472	6258031.0	0.5	6506.0		Y	N	ERR8574138	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.51	18.0	NA-NA	HIGH	NA-NA	18.0	20.03	18227/21223	99.51	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMEA9435863	4585136	88	52103.82	580462	202	0	0	217752	7	135400	12	68081	21	100.0	0.06	100.0	Neural Network (Specific Model)	11.0	0.882	217752.0	314.43186582809227	4585136.0	0.51	4293.0		Y	N	ERR10124864	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.24	66.0	NA-NA	HIGH	NA-NA	66.0	65.99	8906/21223	97.24	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Fail	Pass
SAMN21464935	362080	333	1087.33	8100	267	0	0	1056	120	870	196	775	284	12.37	0.0	10.09	Neural Network (Specific Model)	11.0	0.85	1056.0	179.21217391304347	362080.0	0.51	575.0		Y	N	SRR15927288	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	99.74	4.705	NA-NA	HIGH	NA-NA	4.0	4.705	19582/21223	99.74	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
SAMN21361114	6151998	782	7867.01	308536	209	0	0	43723	36	20384	76	2253	267	100.0	12.58	100.0	Neural Network (Specific Model)	11.0	0.881	43723.0	290.20849358974357	6151998.0	0.5	6240.0		Y	N	SRR15815268	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	98.04	30.0	NA-NA	HIGH	NA-NA	30.0	23.802	11472/21223	98.04	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	F	Fail	Fail
