Sample	Reasons
SAMEA112803650	sylph_min_abundance;checkm2_max_contam
SAMEA709047	sylph_min_abundance;checkm2_max_contam
SAMEA5098325	max_contig_num;checkm2_max_contam
SAMEA8611414	checkm2_max_contam
SAMEA4966671	max_contig_num;min_N50;sylph_min_abundance;checkm2_max_contam
SAMN18118227	sylph_min_abundance
SAMEA115097329	max_contig_num;checkm2_max_contam
SAMN11053697	sylph_min_abundance
SAMN32324223	checkm2_min_compl
SAMEA29650918	sylph_min_abundance
SAMEA3649763	sylph_min_abundance
SAMEA5075716	checkm2_min_compl
SAMD00500037	sylph_min_abundance
SAMEA6359829	sylph_min_abundance
SAMN26314098	max_contig_num;sylph_min_abundance;checkm2_max_contam
SAMEA3713327	sylph_min_abundance;checkm2_max_contam
SAMN08215339	sylph_min_abundance;checkm2_max_contam
SAMEA7685571	sylph_min_abundance;checkm2_min_compl;checkm2_max_contam
SAMN08912880	sylph_min_abundance;checkm2_max_contam
SAMEA5050343	sylph_min_abundance;checkm2_max_contam
SAMN09232628	sylph_min_abundance
SAMN25999961	sylph_min_abundance
SAMN30553337	sylph_no_species_call
SAMN30414140	max_contig_num
SAMEA3175431	sylph_min_abundance
SAMEA3916514	checkm2_max_contam
SAMEA8263683	max_contig_num;checkm2_max_contam
SAMEA113538267	sylph_min_abundance
SAMN08963848	checkm2_min_compl
SAMEA901485	sylph_min_abundance;checkm2_max_contam
SAMEA7624492	sylph_min_abundance;checkm2_max_contam
SAMEA7510001	max_contig_num;checkm2_max_contam
SAMEA3276168	sylph_min_abundance;checkm2_max_contam
SAMN10163248	sylph_min_abundance;checkm2_max_contam
SAMEA104398474	sylph_min_abundance
SAMN41641788	max_contig_num;sylph_no_species_call
SAMN04385643	max_contig_num;min_N50;checkm2_min_compl;checkm2_max_contam
SAMN24021130	sylph_min_abundance
SAMEA6359644	sylph_min_abundance
SAMN10075959	max_contig_num;min_N50
SAMN30553216	sylph_no_species_call
SAMEA847156	checkm2_min_compl
SAMN05209866	max_contig_num;min_N50;checkm2_max_contam
SAMEA7549369	sylph_min_abundance
SAMN22165391	sylph_min_abundance
SAMN00015206	sylph_min_abundance
SAMN31655765	sylph_min_abundance;checkm2_max_contam
SAMEA7620757	checkm2_max_contam
SAMN02367582	sylph_min_abundance;checkm2_max_contam
