sample	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	in_v0.1	in_661k	Run	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name	Species_x	Species_y	HQ	QC
SAMD00075885	5507784	475	11595.33	204192	200	0	0	89064	22	46145	40	13322	82	99.85	0.37	100.0	Neural Network (Specific Model)	11.0	0.874	89064.0	283.2595137420719	5507784.0	0.5	5676.0		Y	N	DRR103542	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.4	97.0	NA-NA	HIGH	NA-NA	97.0	101.469	9380/21223	97.4	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN16231665	4726029	151	31298.21	245158	200	0	0	73717	19	46052	35	24558	63	99.09	0.05	100.0	Neural Network (Specific Model)	11.0	0.872	73717.0	307.4890576150067	4726029.0	0.52	4478.0		Y	N	SRR12682638	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.01	40.0	NA-NA	HIGH	NA-NA	40.0	38.861	15579/21226	99.01	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN14055639	5319461	324	16418.09	214375	200	0	0	72359	22	47029	40	16968	76	100.0	0.29	100.0	Neural Network (Specific Model)	11.0	0.874	72359.0	296.3874045801527	5319461.0	0.5	5240.0		Y	N	SRR11046603	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	100.0	100.0	97.21	56.0	NA-NA	HIGH	NA-NA	56.0	57.306	8827/21223	97.21	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome	Escherichia coli	Escherichia coli	T	Pass
SAMN31109481	4679148	46	101720.61	1081870	255	0	0	756188	3	697508	4	147688	7	100.0	0.09	100.0	Neural Network (Specific Model)	11.0	0.876	756188.0	311.14295454545453	4679148.0	0.52	4400.0		Y	N	SRR21769833	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.47	55.0	NA-NA	HIGH	NA-NA	55.0	54.457	13173/21226	98.47	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN27589797	4777569	89	53680.55	466335	212	0	0	144675	12	80768	19	43477	36	99.87	0.04	100.0	Neural Network (Specific Model)	11.0	0.874	144675.0	298.4685628742515	4777569.0	0.52	4676.0		Y	N	SRR18761676	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	98.47	60.0	NA-NA	HIGH	NA-NA	60.0	61.841	13147/21226	98.47	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMN19156810	4712971	76	62012.78	454887	201	0	0	303887	6	193751	11	89186	17	98.92	0.04	100.0	Neural Network (Specific Model)	11.0	0.875	303887.0	315.2964065003433	4712971.0	0.52	4369.0		Y	N	SRR18337519	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	100.0	100.0	99.06	24.0	NA-NA	HIGH	NA-NA	24.0	24.056	15846/21226	99.06	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Salmonella enterica	T	Pass
SAMEA7340422	2749361	61	45071.49	389077	209	0	0	182138	5	85443	10	60671	18	100.0	0.09	100.0	Neural Network (Specific Model)	11.0	0.843	182138.0	300.6047415468325	2749361.0	0.33	2573.0		Y	N	ERR4626457	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	100.0	100.0	98.31	74.0	NA-NA	HIGH	NA-NA	74.0	71.808	7004/11892	98.31	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome	Staphylococcus aureus	Staphylococcus aureus	T	Pass
SAMEA7891412	4388624	120	36571.87	241837	210	0	0	97686	16	65405	28	41231	43	99.09	0.34	100.0	Neural Network (Specific Model)	11.0	0.903	97686.0	319.9407926534558	4388624.0	0.66	4138.0		Y	N	ERR5979458	gtdb_genomes_reps_r214/database/GCF/000/195/955/GCF_000195955.2_genomic.fna.gz	100.0	100.0	99.95	197.0	NA-NA	HIGH	NA-NA	197.0	195.411	18479/18742	99.95	NC_000962.3 Mycobacterium tuberculosis H37Rv, complete genome	Mycobacterium tuberculosis	Mycobacterium tuberculosis	T	Pass
SAMEA104364945	3050054	215	14186.3	241509	206	0	0	52434	18	30170	32	11165	67	99.53	2.15	100.0	Neural Network (Specific Model)	11.0	0.845	52434.0	288.21273031825797	3050054.0	0.38	2985.0		Y	N	ERR3061837	gtdb_genomes_reps_r214/database/GCF/000/006/945/GCF_000006945.2_genomic.fna.gz	0.1256	0.25	99.72	0.083	99.10-100.35	0.083	0.07-0.10	1.0	1.045	1585/21226	91.97	NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome	Salmonella enterica	Enterococcus_B faecium	T	Pass
SAMEA104364945	3050054	215	14186.3	241509	206	0	0	52434	18	30170	32	11165	67	99.53	2.15	100.0	Neural Network (Specific Model)	11.0	0.845	52434.0	288.21273031825797	3050054.0	0.38	2985.0		Y	N	ERR3061837	gtdb_genomes_reps_r214/database/GCF/001/544/255/GCF_001544255.1_genomic.fna.gz	99.8744	99.75	99.59	66.0	NA-NA	HIGH	NA-NA	66.0	67.667	9404/10679	99.59	NZ_BCQD01000001.1 Enterococcus faecium NBRC 100486, whole genome shotgun sequence	Enterococcus_B faecium	Enterococcus_B faecium	T	Pass
